binnew	contig
MAGScoT_cleanbin_000001	example_contig_13943
MAGScoT_cleanbin_000001	example_contig_30913
MAGScoT_cleanbin_000001	example_contig_57083
MAGScoT_cleanbin_000001	example_contig_29070
MAGScoT_cleanbin_000001	example_contig_5892
MAGScoT_cleanbin_000001	example_contig_15458
MAGScoT_cleanbin_000001	example_contig_66470
MAGScoT_cleanbin_000001	example_contig_60469
MAGScoT_cleanbin_000001	example_contig_13834
MAGScoT_cleanbin_000001	example_contig_21182
MAGScoT_cleanbin_000001	example_contig_51961
MAGScoT_cleanbin_000001	example_contig_53653
MAGScoT_cleanbin_000001	example_contig_70438
MAGScoT_cleanbin_000001	example_contig_73173
MAGScoT_cleanbin_000001	example_contig_22637
MAGScoT_cleanbin_000001	example_contig_67355
MAGScoT_cleanbin_000001	example_contig_18765
MAGScoT_cleanbin_000001	example_contig_52978
MAGScoT_cleanbin_000001	example_contig_739
MAGScoT_cleanbin_000001	example_contig_3750
MAGScoT_cleanbin_000001	example_contig_3344
MAGScoT_cleanbin_000001	example_contig_43728
MAGScoT_cleanbin_000001	example_contig_68422
MAGScoT_cleanbin_000001	example_contig_7192
MAGScoT_cleanbin_000001	example_contig_8465
MAGScoT_cleanbin_000001	example_contig_43608
MAGScoT_cleanbin_000001	example_contig_61685
MAGScoT_cleanbin_000001	example_contig_25872
MAGScoT_cleanbin_000001	example_contig_30654
MAGScoT_cleanbin_000001	example_contig_54356
MAGScoT_cleanbin_000001	example_contig_55839
MAGScoT_cleanbin_000001	example_contig_13792
MAGScoT_cleanbin_000001	example_contig_27817
MAGScoT_cleanbin_000001	example_contig_31791
MAGScoT_cleanbin_000001	example_contig_12344
MAGScoT_cleanbin_000001	example_contig_27671
MAGScoT_cleanbin_000001	example_contig_69340
MAGScoT_cleanbin_000001	example_contig_68283
MAGScoT_cleanbin_000001	example_contig_70026
MAGScoT_cleanbin_000001	example_contig_61661
MAGScoT_cleanbin_000001	example_contig_40608
MAGScoT_cleanbin_000001	example_contig_25071
MAGScoT_cleanbin_000001	example_contig_3249
MAGScoT_cleanbin_000001	example_contig_23678
MAGScoT_cleanbin_000001	example_contig_10288
MAGScoT_cleanbin_000001	example_contig_73467
MAGScoT_cleanbin_000001	example_contig_12714
MAGScoT_cleanbin_000001	example_contig_71414
MAGScoT_cleanbin_000001	example_contig_64296
MAGScoT_cleanbin_000001	example_contig_13414
MAGScoT_cleanbin_000001	example_contig_3322
MAGScoT_cleanbin_000001	example_contig_71724
MAGScoT_cleanbin_000001	example_contig_44667
MAGScoT_cleanbin_000001	example_contig_76157
MAGScoT_cleanbin_000001	example_contig_74817
MAGScoT_cleanbin_000001	example_contig_76430
MAGScoT_cleanbin_000001	example_contig_5041
MAGScoT_cleanbin_000001	example_contig_81030
MAGScoT_cleanbin_000001	example_contig_24007
MAGScoT_cleanbin_000001	example_contig_39485
MAGScoT_cleanbin_000001	example_contig_62918
MAGScoT_cleanbin_000001	example_contig_15580
MAGScoT_cleanbin_000001	example_contig_45333
MAGScoT_cleanbin_000001	example_contig_31079
MAGScoT_cleanbin_000001	example_contig_68223
MAGScoT_cleanbin_000001	example_contig_41058
MAGScoT_cleanbin_000001	example_contig_3301
MAGScoT_cleanbin_000001	example_contig_15784
MAGScoT_cleanbin_000001	example_contig_37768
MAGScoT_cleanbin_000001	example_contig_75771
MAGScoT_cleanbin_000001	example_contig_63972
MAGScoT_cleanbin_000001	example_contig_36806
MAGScoT_cleanbin_000001	example_contig_5507
MAGScoT_cleanbin_000001	example_contig_4928
MAGScoT_cleanbin_000001	example_contig_40969
MAGScoT_cleanbin_000001	example_contig_58188
MAGScoT_cleanbin_000001	example_contig_14538
MAGScoT_cleanbin_000001	example_contig_57650
MAGScoT_cleanbin_000001	example_contig_13948
MAGScoT_cleanbin_000001	example_contig_63029
MAGScoT_cleanbin_000001	example_contig_35878
MAGScoT_cleanbin_000001	example_contig_67207
MAGScoT_cleanbin_000001	example_contig_38285
MAGScoT_cleanbin_000001	example_contig_75945
MAGScoT_cleanbin_000001	example_contig_161
MAGScoT_cleanbin_000001	example_contig_30925
MAGScoT_cleanbin_000001	example_contig_23960
MAGScoT_cleanbin_000001	example_contig_22285
MAGScoT_cleanbin_000001	example_contig_71796
MAGScoT_cleanbin_000001	example_contig_25473
MAGScoT_cleanbin_000001	example_contig_39077
MAGScoT_cleanbin_000001	example_contig_32996
MAGScoT_cleanbin_000001	example_contig_31291
MAGScoT_cleanbin_000001	example_contig_10902
MAGScoT_cleanbin_000001	example_contig_17623
MAGScoT_cleanbin_000001	example_contig_40174
MAGScoT_cleanbin_000001	example_contig_20345
MAGScoT_cleanbin_000001	example_contig_73435
MAGScoT_cleanbin_000001	example_contig_78863
MAGScoT_cleanbin_000001	example_contig_2450
MAGScoT_cleanbin_000001	example_contig_25836
MAGScoT_cleanbin_000001	example_contig_35484
MAGScoT_cleanbin_000001	example_contig_39306
MAGScoT_cleanbin_000001	example_contig_13476
MAGScoT_cleanbin_000001	example_contig_77096
MAGScoT_cleanbin_000001	example_contig_31755
MAGScoT_cleanbin_000001	example_contig_67533
MAGScoT_cleanbin_000001	example_contig_37652
MAGScoT_cleanbin_000001	example_contig_43524
MAGScoT_cleanbin_000001	example_contig_10877
MAGScoT_cleanbin_000001	example_contig_1685
MAGScoT_cleanbin_000001	example_contig_24375
MAGScoT_cleanbin_000001	example_contig_64372
MAGScoT_cleanbin_000001	example_contig_3104
MAGScoT_cleanbin_000001	example_contig_17302
MAGScoT_cleanbin_000001	example_contig_72531
MAGScoT_cleanbin_000001	example_contig_58078
MAGScoT_cleanbin_000001	example_contig_25881
MAGScoT_cleanbin_000001	example_contig_73794
MAGScoT_cleanbin_000001	example_contig_55814
MAGScoT_cleanbin_000001	example_contig_945
MAGScoT_cleanbin_000001	example_contig_25238
MAGScoT_cleanbin_000001	example_contig_77193
MAGScoT_cleanbin_000001	example_contig_21954
MAGScoT_cleanbin_000001	example_contig_44608
MAGScoT_cleanbin_000001	example_contig_60585
MAGScoT_cleanbin_000001	example_contig_75802
MAGScoT_cleanbin_000001	example_contig_79917
MAGScoT_cleanbin_000001	example_contig_61295
MAGScoT_cleanbin_000001	example_contig_51979
MAGScoT_cleanbin_000001	example_contig_70399
MAGScoT_cleanbin_000001	example_contig_80444
MAGScoT_cleanbin_000001	example_contig_49470
MAGScoT_cleanbin_000001	example_contig_14456
MAGScoT_cleanbin_000001	example_contig_39795
MAGScoT_cleanbin_000001	example_contig_12065
MAGScoT_cleanbin_000001	example_contig_13081
MAGScoT_cleanbin_000001	example_contig_68045
MAGScoT_cleanbin_000001	example_contig_41003
MAGScoT_cleanbin_000001	example_contig_52695
MAGScoT_cleanbin_000001	example_contig_42623
MAGScoT_cleanbin_000001	example_contig_25285
MAGScoT_cleanbin_000001	example_contig_44672
MAGScoT_cleanbin_000001	example_contig_40748
MAGScoT_cleanbin_000001	example_contig_22341
MAGScoT_cleanbin_000001	example_contig_22105
MAGScoT_cleanbin_000001	example_contig_35280
MAGScoT_cleanbin_000001	example_contig_29524
MAGScoT_cleanbin_000001	example_contig_8622
MAGScoT_cleanbin_000001	example_contig_59560
MAGScoT_cleanbin_000001	example_contig_72591
MAGScoT_cleanbin_000001	example_contig_70222
MAGScoT_cleanbin_000001	example_contig_29813
MAGScoT_cleanbin_000002	example_contig_47572
MAGScoT_cleanbin_000002	example_contig_67299
MAGScoT_cleanbin_000002	example_contig_43273
MAGScoT_cleanbin_000002	example_contig_64728
MAGScoT_cleanbin_000002	example_contig_53472
MAGScoT_cleanbin_000002	example_contig_27460
MAGScoT_cleanbin_000002	example_contig_42843
MAGScoT_cleanbin_000002	example_contig_21335
MAGScoT_cleanbin_000002	example_contig_39522
MAGScoT_cleanbin_000002	example_contig_73211
MAGScoT_cleanbin_000002	example_contig_80073
MAGScoT_cleanbin_000002	example_contig_72170
MAGScoT_cleanbin_000002	example_contig_33888
MAGScoT_cleanbin_000002	example_contig_2698
MAGScoT_cleanbin_000002	example_contig_19366
MAGScoT_cleanbin_000002	example_contig_54640
MAGScoT_cleanbin_000002	example_contig_14238
MAGScoT_cleanbin_000002	example_contig_34093
MAGScoT_cleanbin_000002	example_contig_40409
MAGScoT_cleanbin_000002	example_contig_1522
MAGScoT_cleanbin_000002	example_contig_22210
MAGScoT_cleanbin_000002	example_contig_31945
MAGScoT_cleanbin_000002	example_contig_42249
MAGScoT_cleanbin_000002	example_contig_24552
MAGScoT_cleanbin_000002	example_contig_69973
MAGScoT_cleanbin_000002	example_contig_11796
MAGScoT_cleanbin_000002	example_contig_48093
MAGScoT_cleanbin_000002	example_contig_49946
MAGScoT_cleanbin_000002	example_contig_66648
MAGScoT_cleanbin_000002	example_contig_64722
MAGScoT_cleanbin_000002	example_contig_13031
MAGScoT_cleanbin_000002	example_contig_21910
MAGScoT_cleanbin_000002	example_contig_62698
MAGScoT_cleanbin_000002	example_contig_29706
MAGScoT_cleanbin_000002	example_contig_31993
MAGScoT_cleanbin_000002	example_contig_16307
MAGScoT_cleanbin_000002	example_contig_38536
MAGScoT_cleanbin_000002	example_contig_79065
MAGScoT_cleanbin_000002	example_contig_66454
MAGScoT_cleanbin_000002	example_contig_58606
MAGScoT_cleanbin_000002	example_contig_5931
MAGScoT_cleanbin_000002	example_contig_19000
MAGScoT_cleanbin_000002	example_contig_75648
MAGScoT_cleanbin_000002	example_contig_27409
MAGScoT_cleanbin_000002	example_contig_80815
MAGScoT_cleanbin_000002	example_contig_72854
MAGScoT_cleanbin_000002	example_contig_35571
MAGScoT_cleanbin_000002	example_contig_20621
MAGScoT_cleanbin_000002	example_contig_61333
MAGScoT_cleanbin_000002	example_contig_34553
MAGScoT_cleanbin_000002	example_contig_28568
MAGScoT_cleanbin_000002	example_contig_12576
MAGScoT_cleanbin_000002	example_contig_55925
MAGScoT_cleanbin_000002	example_contig_79011
MAGScoT_cleanbin_000002	example_contig_38634
MAGScoT_cleanbin_000002	example_contig_38337
MAGScoT_cleanbin_000002	example_contig_16734
MAGScoT_cleanbin_000002	example_contig_41817
MAGScoT_cleanbin_000002	example_contig_70575
MAGScoT_cleanbin_000002	example_contig_53372
MAGScoT_cleanbin_000002	example_contig_55934
MAGScoT_cleanbin_000002	example_contig_68284
MAGScoT_cleanbin_000002	example_contig_16650
MAGScoT_cleanbin_000002	example_contig_75076
MAGScoT_cleanbin_000002	example_contig_51776
MAGScoT_cleanbin_000002	example_contig_18579
MAGScoT_cleanbin_000002	example_contig_5851
MAGScoT_cleanbin_000002	example_contig_14126
MAGScoT_cleanbin_000002	example_contig_64622
MAGScoT_cleanbin_000002	example_contig_70670
MAGScoT_cleanbin_000002	example_contig_73466
