	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	2.0	1.7	2.06666666667	1.9222222222222225
clmb	7.6	5.16666666667	4.83333333333	5.866666666666666
Comebin	3.03333333333	5.7	6.1	4.944444444444445
concoct	6.3	7.26666666667	7.4	6.98888888888889
maxbin2.2.7	7.76666666667	6.0	5.53333333333	6.433333333333333
metabat2.15	6.23333333333	7.73333333333	8.13333333333	7.366666666666667
Metabinner	2.66666666667	3.7	3.5	3.288888888888889
Metadecoder	6.06666666667	6.7	6.56666666667	6.444444444444444
Semibin2	6.26666666667	6.83333333333	6.6	6.566666666666666
vamb	7.06666666667	4.2	4.26666666667	5.177777777777777
