	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	4.66666666667	4.9	5.8	5.122222222222223
clmb	8.63333333333	6.73333333333	6.16666666667	7.177777777777778
Comebin	1.96666666667	2.56666666667	2.46666666667	2.3333333333333335
concoct	8.6	7.23333333333	7.33333333333	7.722222222222221
maxbin2.2.7	7.7	7.93333333333	7.73333333333	7.788888888888889
metabat2.15	2.96666666667	5.2	5.36666666667	4.511111111111112
Metabinner	5.03333333333	7.13333333333	7.03333333333	6.400000000000001
Metadecoder	2.5	3.13333333333	3.5	3.0444444444444443
Semibin2	4.7	3.73333333333	3.56666666667	4.0
vamb	8.23333333333	6.43333333333	6.03333333333	6.8999999999999995
