	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	7.33333333333	5.7	9.13333333333	7.388888888888888
clmb	8.4	7.3	6.73333333333	7.477777777777778
Comebin	4.13333333333	5.03333333333	7.2	5.455555555555556
concoct	7.16666666667	6.8	4.6	6.188888888888889
maxbin2.2.7	4.43333333333	6.2	3.6	4.7444444444444445
metabat2.15	4.86666666667	4.23333333333	5.5	4.866666666666666
Metabinner	1.56666666667	2.43333333333	1.6	1.8666666666666665
Metadecoder	4.9	5.83333333333	4.43333333333	5.055555555555556
Semibin2	5.5	6.03333333333	7.43333333333	6.322222222222223
vamb	6.7	5.43333333333	4.76666666667	5.633333333333333
