	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	6.53333333333	5.7	9.2	7.144444444444445
clmb	8.93333333333	8.93333333333	7.96666666667	8.611111111111112
Comebin	4.0	4.36666666667	7.06666666667	5.144444444444445
concoct	9.1	8.26666666667	6.43333333333	7.933333333333334
maxbin2.2.7	6.26666666667	6.46666666667	4.36666666667	5.7
metabat2.15	4.16666666667	4.5	4.23333333333	4.300000000000001
Metabinner	2.33333333333	2.0	1.3	1.877777777777778
Metadecoder	2.76666666667	4.76666666667	3.7	3.744444444444445
Semibin2	3.26666666667	3.16666666667	4.93333333333	3.788888888888889
vamb	7.63333333333	6.83333333333	5.8	6.7555555555555555
