	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	2.8	2.8	2.93333333333	2.8444444444444446
clmb	8.46666666667	6.26666666667	7.0	7.2444444444444445
Comebin	4.9	5.36666666667	6.46666666667	5.577777777777778
concoct	4.93333333333	2.66666666667	6.5	4.7
maxbin2.2.7	7.93333333333	8.03333333333	3.66666666667	6.544444444444444
metabat2.15	4.86666666667	9.06666666667	7.53333333333	7.155555555555556
Metabinner	3.63333333333	5.13333333333	2.83333333333	3.866666666666667
Metadecoder	3.8	3.93333333333	6.4	4.711111111111111
Semibin2	6.2	6.16666666667	4.96666666667	5.777777777777779
vamb	7.46666666667	5.56666666667	6.7	6.577777777777778
