	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	7.5	5.33333333333	4.8	5.877777777777777
clmb	8.73333333333	7.86666666667	6.06666666667	7.5555555555555545
Comebin	3.6	3.7	5.36666666667	4.222222222222222
concoct	8.36666666667	6.4	5.06666666667	6.611111111111112
maxbin2.2.7	7.16666666667	8.23333333333	4.43333333333	6.611111111111111
metabat2.15	3.76666666667	5.83333333333	7.3	5.633333333333333
Metabinner	3.6	4.66666666667	4.66666666667	4.311111111111111
Metadecoder	2.56666666667	2.43333333333	5.53333333333	3.511111111111111
Semibin2	2.2	3.4	6.66666666667	4.088888888888889
vamb	7.5	7.13333333333	5.1	6.577777777777778
