	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	6.0	6.0	6.0	6.0
clmb	5.833333333333333	6.666666666666667	6.166666666666667	6.222222222222222
Comebin	2.1666666666666665	1.5	1.3333333333333333	1.6666666666666667
concoct	6.833333333333333	3.5	2.6666666666666665	4.333333333333333
maxbin2.2.7	10.0	9.333333333333334	8.833333333333334	9.388888888888891
metabat2.15	8.666666666666666	9.666666666666666	10.0	9.444444444444445
Metabinner	1.3333333333333333	4.5	4.833333333333333	3.5555555555555554
Metadecoder	3.0	2.6666666666666665	3.3333333333333335	3.0
Semibin2	5.666666666666667	3.1666666666666665	5.0	4.611111111111112
vamb	5.5	8.0	6.833333333333333	6.777777777777778
