	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	8.666666666666666	9.0	9.333333333333334	9.0
clmb	7.0	4.333333333333333	3.5	4.944444444444444
Comebin	1.8333333333333333	1.3333333333333333	1.8333333333333333	1.6666666666666667
concoct	8.666666666666666	5.833333333333333	5.833333333333333	6.777777777777778
maxbin2.2.7	8.333333333333334	8.5	8.166666666666666	8.333333333333334
metabat2.15	6.0	9.5	9.333333333333334	8.277777777777779
Metabinner	2.5	4.5	4.5	3.8333333333333335
Metadecoder	2.1666666666666665	1.6666666666666667	1.6666666666666667	1.8333333333333333
Semibin2	3.5	4.333333333333333	4.333333333333333	4.055555555555555
vamb	6.333333333333333	6.0	6.5	6.277777777777778
