	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	8.16666666667	6.16666666667	8.66666666667	7.666666666666667
clmb	7.66666666667	7.66666666667	7.0	7.4444444444444455
Comebin	2.5	3.0	3.66666666667	3.0555555555555554
concoct	8.83333333333	6.5	5.16666666667	6.833333333333333
maxbin2.2.7	5.33333333333	7.5	4.66666666667	5.833333333333333
metabat2.15	5.33333333333	4.5	5.16666666667	5.0
Metabinner	1.5	1.66666666667	1.0	1.388888888888889
Metadecoder	2.0	2.33333333333	2.66666666667	2.3333333333333335
Semibin2	5.33333333333	7.33333333333	9.83333333333	7.5
vamb	8.33333333333	8.33333333333	7.16666666667	7.9444444444444455
