	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	6.5	7.66666666667	9.5	7.888888888888889
clmb	9.16666666667	8.5	6.66666666667	8.11111111111111
Comebin	4.66666666667	4.33333333333	5.83333333333	4.944444444444444
concoct	8.16666666667	6.33333333333	4.83333333333	6.444444444444444
maxbin2.2.7	7.83333333333	8.16666666667	7.33333333333	7.777777777777778
metabat2.15	4.5	6.66666666667	7.66666666667	6.277777777777779
Metabinner	1.83333333333	1.33333333333	1.0	1.3888888888888886
Metadecoder	2.0	2.66666666667	2.33333333333	2.3333333333333335
Semibin2	2.16666666667	2.33333333333	3.83333333333	2.777777777777778
vamb	8.16666666667	7.0	6.0	7.0555555555555545
