	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	7.333333333333333	8.0	2.8333333333333335	6.0555555555555545
clmb	6.333333333333333	6.333333333333333	8.166666666666666	6.944444444444444
Comebin	3.1666666666666665	1.0	5.5	3.222222222222222
concoct	8.0	4.333333333333333	4.5	5.611111111111111
maxbin2.2.7	9.666666666666666	9.666666666666666	3.8333333333333335	7.722222222222221
metabat2.15	8.666666666666666	9.333333333333334	8.166666666666666	8.722222222222221
Metabinner	1.3333333333333333	4.666666666666667	3.8333333333333335	3.277777777777778
Metadecoder	2.1666666666666665	2.6666666666666665	5.5	3.444444444444444
Semibin2	4.166666666666667	2.3333333333333335	4.5	3.6666666666666665
vamb	4.166666666666667	6.666666666666667	8.166666666666666	6.333333333333333
