	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	10.0	8.0	2.5	6.833333333333333
clmb	5.833333333333333	6.5	5.166666666666667	5.833333333333333
Comebin	1.5	1.0	5.833333333333333	2.7777777777777772
concoct	8.166666666666666	5.0	3.8333333333333335	5.666666666666667
maxbin2.2.7	8.5	9.333333333333334	5.333333333333333	7.722222222222222
metabat2.15	6.5	9.666666666666666	8.833333333333334	8.333333333333334
Metabinner	2.6666666666666665	3.3333333333333335	2.8333333333333335	2.9444444444444446
Metadecoder	2.0	2.0	5.833333333333333	3.2777777777777772
Semibin2	3.8333333333333335	4.333333333333333	8.833333333333334	5.666666666666667
vamb	6.0	5.833333333333333	6.0	5.944444444444444
