	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	4.23333333333	2.73333333333	3.1	3.3555555555555556
clmb	6.38333333333	6.8	6.48333333333	6.555555555555556
Comebin	2.16666666667	2.61666666667	3.8	2.8611111111111107
concoct	7.98333333333	4.0	3.78333333333	5.2555555555555555
maxbin2.2.7	9.83333333333	8.75	8.28333333333	8.955555555555556
metabat2.15	5.53333333333	9.3	9.1	7.977777777777778
Metabinner	1.75	5.25	5.45	4.1499999999999995
Metadecoder	5.9	5.98333333333	6.0	5.961111111111111
Semibin2	6.38333333333	3.78333333333	2.86666666667	4.344444444444445
vamb	4.83333333333	5.78333333333	6.13333333333	5.583333333333333
