	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	6.3	5.31666666667	4.78333333333	5.466666666666666
clmb	7.1	6.56666666667	6.43333333333	6.7
Comebin	1.13333333333	1.35	1.65	1.3777777777777775
concoct	9.4	7.01666666667	7.56666666667	7.9944444444444445
maxbin2.2.7	9.53333333333	9.41666666667	8.63333333333	9.194444444444445
metabat2.15	5.41666666667	9.13333333333	9.11666666667	7.888888888888889
Metabinner	3.26666666667	4.6	5.26666666667	4.377777777777777
Metadecoder	2.16666666667	2.25	2.15	2.1888888888888887
Semibin2	3.6	3.06666666667	3.26666666667	3.3111111111111113
vamb	7.08333333333	6.28333333333	6.13333333333	6.5
