	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	9.33333333333	5.15	6.8	7.094444444444445
clmb	5.15	6.08333333333	5.81666666667	5.683333333333334
Comebin	5.45	6.96666666667	7.63333333333	6.683333333333334
concoct	6.9	3.56666666667	4.0	4.822222222222222
maxbin2.2.7	9.28333333333	7.8	6.3	7.794444444444444
metabat2.15	5.36666666667	7.31666666667	8.13333333333	6.938888888888889
Metabinner	2.95	4.03333333333	2.46666666667	3.15
Metadecoder	3.63333333333	5.53333333333	4.4	4.522222222222222
Semibin2	1.83333333333	2.43333333333	3.9	2.722222222222222
vamb	5.1	6.11666666667	5.55	5.588888888888889
