	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	8.13333333333	6.6	7.33333333333	7.355555555555555
clmb	7.9	8.15	7.96666666667	8.005555555555555
Comebin	2.53333333333	3.68333333333	4.46666666667	3.5611111111111113
concoct	7.96666666667	5.41666666667	5.05	6.144444444444445
maxbin2.2.7	9.63333333333	8.96666666667	7.53333333333	8.71111111111111
metabat2.15	5.58333333333	7.53333333333	8.43333333333	7.183333333333334
Metabinner	3.7	3.88333333333	2.5	3.361111111111111
Metadecoder	2.0	3.06666666667	3.0	2.6888888888888887
Semibin2	2.16666666667	1.8	2.88333333333	2.283333333333333
vamb	5.38333333333	5.9	5.83333333333	5.705555555555556
