	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	2.91666666667	2.16666666667	4.53333333333	3.2055555555555557
clmb	7.7	7.26666666667	8.23333333333	7.733333333333333
Comebin	1.35	1.71666666667	5.1	2.722222222222222
concoct	5.61666666667	3.21666666667	4.08333333333	4.3055555555555545
maxbin2.2.7	9.55	7.95	2.98333333333	6.827777777777778
metabat2.15	7.5	9.85	8.4	8.583333333333334
Metabinner	1.85	5.13333333333	3.16666666667	3.3833333333333333
Metadecoder	7.43333333333	7.25	7.85	7.51111111111111
Semibin2	6.1	5.0	3.1	4.733333333333333
vamb	4.98333333333	5.45	7.55	5.9944444444444445
