	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	5.86666666667	4.28333333333	2.93333333333	4.361111111111111
clmb	7.91666666667	7.81666666667	6.26666666667	7.333333333333333
Comebin	1.0	1.1	3.9	2.0
concoct	9.53333333333	6.2	5.83333333333	7.188888888888889
maxbin2.2.7	8.28333333333	8.66666666667	2.76666666667	6.572222222222222
metabat2.15	5.46666666667	9.58333333333	8.05	7.7
Metabinner	3.95	4.9	5.9	4.916666666666667
Metadecoder	2.63333333333	2.58333333333	6.1	3.772222222222222
Semibin2	2.56666666667	2.5	7.46666666667	4.177777777777778
vamb	7.78333333333	7.36666666667	5.78333333333	6.977777777777777
