	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	4.66666666667	1.9	1.73333333333	2.766666666666667
clmb	7.31666666667	6.66666666667	6.56666666667	6.8500000000000005
Comebin	1.9	2.78333333333	3.21666666667	2.6333333333333333
concoct	9.8	9.41666666667	9.33333333333	9.516666666666667
maxbin2.2.7	8.86666666667	7.21666666667	6.11666666667	7.400000000000001
metabat2.15	2.96666666667	3.2	3.53333333333	3.233333333333333
Metabinner	2.16666666667	3.65	3.73333333333	3.1833333333333336
Metadecoder	4.71666666667	7.91666666667	8.0	6.877777777777777
Semibin2	5.81666666667	6.5	6.9	6.405555555555556
vamb	6.78333333333	5.75	5.86666666667	6.133333333333333
