	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	7.78333333333	7.43333333333	7.88333333333	7.7
clmb	6.36666666667	5.76666666667	5.68333333333	5.938888888888889
Comebin	1.85	1.73333333333	2.06666666667	1.8833333333333335
concoct	9.81666666667	8.66666666667	8.58333333333	9.022222222222224
maxbin2.2.7	8.28333333333	7.88333333333	7.26666666667	7.811111111111111
metabat2.15	3.03333333333	2.93333333333	3.13333333333	3.033333333333333
Metabinner	5.1	7.91666666667	7.76666666667	6.927777777777777
Metadecoder	1.36666666667	2.45	2.53333333333	2.1166666666666667
Semibin2	4.25	3.51666666667	3.11666666667	3.6277777777777778
vamb	7.15	6.7	6.96666666667	6.93888888888889
