	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	8.1	5.35	5.91666666667	6.455555555555556
clmb	4.5	4.95	4.73333333333	4.727777777777778
Comebin	3.75	3.45	3.85	3.6833333333333336
concoct	9.95	8.63333333333	8.46666666667	9.016666666666666
maxbin2.2.7	8.65	8.76666666667	8.6	8.672222222222222
metabat2.15	6.41666666667	6.83333333333	6.83333333333	6.694444444444444
Metabinner	1.03333333333	3.55	3.61666666667	2.733333333333333
Metadecoder	3.71666666667	6.9	6.28333333333	5.633333333333333
Semibin2	3.93333333333	2.75	3.11666666667	3.266666666666667
vamb	4.95	3.81666666667	3.58333333333	4.116666666666667
