	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	2.46666666667	2.4	2.75	2.538888888888889
clmb	9.58333333333	9.23333333333	7.91666666667	8.911111111111111
Comebin	1.13333333333	1.5	3.96666666667	2.1999999999999997
concoct	7.28333333333	6.65	7.01666666667	6.983333333333333
maxbin2.2.7	6.93333333333	6.63333333333	2.26666666667	5.277777777777778
metabat2.15	5.26666666667	5.13333333333	7.11666666667	5.838888888888889
Metabinner	2.5	4.38333333333	5.15	4.011111111111112
Metadecoder	5.53333333333	5.5	4.6	5.211111111111111
Semibin2	5.78333333333	5.58333333333	6.35	5.905555555555556
vamb	8.51666666667	7.98333333333	7.86666666667	8.122222222222222
