	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	7.58333333333	7.48333333333	7.2	7.422222222222222
clmb	8.21666666667	7.7	5.85	7.2555555555555555
Comebin	1.13333333333	1.35	3.26666666667	1.9166666666666667
concoct	8.7	6.88333333333	6.31666666667	7.3
maxbin2.2.7	7.11666666667	7.26666666667	5.55	6.644444444444445
metabat2.15	4.66666666667	4.45	5.45	4.855555555555555
Metabinner	4.08333333333	5.61666666667	5.11666666667	4.938888888888889
Metadecoder	2.45	3.51666666667	4.8	3.5888888888888886
Semibin2	2.68333333333	2.56666666667	4.7	3.3166666666666664
vamb	8.36666666667	8.16666666667	6.75	7.76111111111111
