	Short_co	Short_single	Short_multi	Long_single	Long_multi	Hybrid_single	Hybrid_multi
CONCOCT	0	2.81	3.25	2.15	2.15	2.19	2.53
MaxBin 2	0	1.71	1.81	2.57	2.57	3.53	3.53
MetaBAT 2	45.18	1.87	1.89	3.79	3.61	3.17	3.25
VAMB	8.34	0.36	0.56	1.96	2.09	1.1	1.55
CLMB	30	2.82	2.83	3.8	3.8	4.09	4.1
MetaDecoder	94.05	1.45	14.54	3.23	3.58	3.95	4.53
Binny	123.2	22.36	22.66	10.66	10.67	14.41	14.77
MetaBinner	0	3.05	3.13	2.74	2.8	3.51	2.52
SemiBin 2	73.86	16.54	4.16	4.93	5.1	39.46	6.32
COMEBin(GPU)	0	12.09	10.52	4.51	4.52	7.98	6.98
