	Short_co	Short_single	Short_multi	Long_single	Long_multi	Hybrid_single	Hybrid_multi
CONCOCT	0	300.48	1119.7	440.0	646.48	642.39	877.0
MaxBin 2	0	631.52	1222.52	123.74	208.91	554.57	1042.26
MetaBAT 2	463.0	6.83	50.48	6.48	22.74	8.09	52.7
VAMB	1971	29.09	123.35	15.78	54.91	35.35	137.0
CLMB	13198	391.3	671.13	286.04	344.17	611.87	697.26
MetaDecoder	8668	18.61	97.91	28.61	145.17	81.48	211.48
Binny	6976	475.04	673.13	1040.96	1038.26	1454.61	1585.61
MetaBinner	0	355.52	345.65	313.09	296.48	394.35	508.57
SemiBin 2	681	80.7	131.04	172.0	191.57	143.87	164.17
COMEBin(GPU)	0	698.09	670.13	251.26	302.96	614.57	733.48
