	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	4.84782608696	2.02173913043	1.73913043478	2.8695652173913047
clmb	6.34782608696	5.45652173913	6.26086956522	6.021739130434782
Comebin	1.0652173913	1.19565217391	1.78260869565	1.3478260869565217
concoct	9.97826086957	9.84782608696	9.73913043478	9.855072463768115
maxbin2.2.7	8.21739130435	7.39130434783	7.10869565217	7.572463768115942
metabat2.15	3.76086956522	4.17391304348	3.73913043478	3.8913043478260874
Metabinner	3.89130434783	6.0652173913	6.0652173913	5.340579710144927
Metadecoder	3.17391304348	4.65217391304	4.52173913043	4.115942028985507
Semibin2	7.10869565217	7.82608695652	7.41304347826	7.449275362318841
vamb	6.60869565217	6.36956521739	6.63043478261	6.536231884057972
