	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	6.76086956522	3.39130434783	2.84782608696	4.333333333333333
clmb	4.28260869565	4.45652173913	4.21739130435	4.3188405797101455
Comebin	1.76086956522	1.4347826087	2.13043478261	1.7753623188405798
concoct	9.82608695652	9.54347826087	9.52173913043	9.630434782608695
maxbin2.2.7	9.17391304348	9.45652173913	9.47826086957	9.369565217391305
metabat2.15	4.95652173913	4.58695652174	4.91304347826	4.8188405797101455
Metabinner	5.60869565217	7.71739130435	7.65217391304	6.992753623188406
Metadecoder	1.32608695652	3.0652173913	3.47826086957	2.6231884057971016
Semibin2	6.97826086957	6.4347826087	6.23913043478	6.55072463768116
vamb	4.32608695652	4.91304347826	4.52173913043	4.58695652173913
