	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	9.82608695652	4.39130434783	5.47826086957	6.565217391304348
clmb	5.97826086957	7.9347826087	7.32608695652	7.079710144927536
Comebin	2.76086956522	2.32608695652	2.41304347826	2.5
concoct	8.5	9.41304347826	9.04347826087	8.98550724637681
maxbin2.2.7	6.39130434783	4.97826086957	4.23913043478	5.202898550724638
metabat2.15	3.60869565217	3.9347826087	4.08695652174	3.8768115942028984
Metabinner	7.41304347826	6.28260869565	5.58695652174	6.427536231884058
Metadecoder	3.32608695652	5.34782608696	5.04347826087	4.572463768115942
Semibin2	1.32608695652	2.36956521739	4.0652173913	2.5869565217391304
vamb	5.86956521739	8.02173913043	7.71739130435	7.202898550724638
