	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	9.39130434783	6.28260869565	7.19565217391	7.6231884057971016
clmb	6.19565217391	7.86956521739	7.4347826087	7.166666666666667
Comebin	3.04347826087	2.39130434783	2.4347826087	2.6231884057971016
concoct	9.32608695652	8.86956521739	8.45652173913	8.884057971014492
maxbin2.2.7	8.02173913043	8.36956521739	7.45652173913	7.94927536231884
metabat2.15	4.5	4.39130434783	4.65217391304	4.5144927536231885
Metabinner	5.26086956522	4.78260869565	3.76086956522	4.601449275362319
Metadecoder	1.32608695652	3.23913043478	3.19565217391	2.5869565217391304
Semibin2	1.76086956522	2.02173913043	3.45652173913	2.4130434782608696
vamb	6.17391304348	6.78260869565	6.95652173913	6.637681159420289
