	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	3.0652173913	2.76086956522	3.41304347826	3.0797101449275357
clmb	9.82608695652	4.80434782609	5.69565217391	6.775362318840579
Comebin	1.08695652174	2.0	3.30434782609	2.130434782608696
concoct	4.30434782609	7.89130434783	8.45652173913	6.884057971014492
maxbin2.2.7	6.15217391304	8.08695652174	3.41304347826	5.884057971014493
metabat2.15	7.30434782609	5.80434782609	5.54347826087	6.217391304347825
Metabinner	2.0652173913	4.73913043478	6.21739130435	4.340579710144927
Metadecoder	8.58695652174	8.39130434783	7.95652173913	8.31159420289855
Semibin2	7.26086956522	6.10869565217	5.41304347826	6.260869565217391
vamb	5.34782608696	4.41304347826	5.58695652174	5.115942028985507
