	bins(>50% <10%)_rank	bins(>90% <5%)_rank	bins(>90% <5% tRNA>18 5S 16S 23S)_rank	overall_rank
binny	4.65217391304	3.15217391304	2.34782608696	3.3840579710144927
clmb	9.36956521739	7.91304347826	6.86956521739	8.050724637681158
Comebin	1.0	1.39130434783	4.91304347826	2.434782608695652
concoct	7.15217391304	7.41304347826	6.30434782609	6.956521739130435
maxbin2.2.7	7.58695652174	8.89130434783	5.28260869565	7.253623188405797
metabat2.15	5.71739130435	4.0652173913	4.91304347826	4.898550724637681
Metabinner	4.5	7.15217391304	7.69565217391	6.449275362318841
Metadecoder	2.80434782609	4.34782608696	5.86956521739	4.340579710144928
Semibin2	2.67391304348	2.69565217391	4.30434782609	3.2246376811594204
vamb	9.54347826087	7.97826086957	6.5	8.007246376811594
