	Short_co	Short_single	Short_multi	Long_single	Long_multi	Hybrid_single	Hybrid_multi
CONCOCT	0	3.39,2.94,2.69,2.97,2.77,2.86,3.07,3.63,3.09,2.99,3.15,2.51,2.35,2.79,3.19,3.36,2.23,2.0,2.62,2.28,2.62,3.17,2.03	3.89,3.42,3.05,3.48,3.32,3.34,3.55,4.24,3.65,3.5,3.63,2.67,2.69,3.27,3.68,3.73,2.59,2.29,3.08,2.63,3.04,3.67,2.36	1.33,1.59,2.68,2.12,1.52,2.15,2.18,1.7,2.96,1.2,0.9,2.9,2.96,3.45,2.33,1.6,1.83,1.58,1.94,1.9,3.53,3.13,1.92	1.33,1.59,2.68,2.12,1.52,2.15,2.18,1.7,2.95,1.21,0.9,2.9,2.96,3.45,2.33,1.6,1.83,1.58,1.94,1.9,3.53,3.13,1.92	2.66,2.38,1.99,2.3,2.25,2.26,2.38,2.61,2.4,2.17,2.46,1.74,1.8,2.25,2.51,2.57,1.71,1.57,2.19,1.83,2.15,2.36,1.83	3.06,2.75,2.33,2.69,2.63,2.63,2.77,3.02,2.82,2.51,2.82,1.85,2.04,2.59,2.93,2.9,2.0,1.83,2.56,2.14,2.51,2.74,2.05
MaxBin 2	0	2.18,1.76,1.58,1.79,1.69,1.68,1.8,2.32,2.07,1.91,2.04,1.72,1.41,1.66,1.9,2.08,1.3,1.06,1.5,1.21,1.47,2.01,1.1	2.31,1.87,1.68,1.9,1.8,1.79,1.92,2.46,2.19,2.03,2.16,1.81,1.5,1.77,2.02,2.21,1.38,1.14,1.6,1.3,1.57,2.13,1.17	2.75,1.88,2.69,2.78,2.09,2.45,2.18,2.17,3.06,2.82,1.75,2.93,3.03,4.35,2.54,2.12,2.04,1.86,1.98,2.66,3.62,3.24,2.18	2.72,1.9,2.71,2.71,2.06,2.5,2.19,2.22,3.07,2.88,1.63,2.95,3.05,4.37,2.38,2.19,1.97,1.79,1.93,2.71,3.64,3.26,2.19	3.99,3.35,3.02,3.64,3.29,2.68,4.5,2.88,3.37,2.71,3.99,4.15,2.71,3.57,3.25,4.52,3.76,3.76,3.06,3.44,4.04,3.56,3.85	3.98,3.37,3.03,3.66,3.3,2.67,4.5,2.88,3.35,2.71,3.99,4.12,2.6,3.57,3.45,4.5,3.76,3.77,3.15,3.52,3.88,3.54,3.85
MetaBAT 2	45.18	2.28,1.81,1.85,1.94,1.7,1.82,1.99,2.47,2.18,2.12,2.16,2.17,1.72,1.78,1.92,2.22,1.61,1.28,1.61,1.35,1.59,2.14,1.32	2.3,1.83,1.88,1.97,1.72,1.84,2.01,2.5,2.21,2.13,2.19,2.19,1.74,1.8,1.94,2.24,1.63,1.3,1.63,1.37,1.61,2.17,1.34	2.79,3.88,3.02,2.44,4.29,5.77,2.58,5.44,3.4,1.99,2.36,3.32,3.47,3.8,5.8,3.1,4.5,3.1,5.05,3.9,3.97,3.74,5.52	3.43,4.48,3.14,2.51,5.35,2.52,2.63,2.08,3.56,2.0,2.44,3.46,3.64,3.91,2.73,3.98,6.13,3.68,5.88,5.15,4.17,3.9,2.32	4.13,2.98,2.77,3.48,3.26,3.07,3.48,3.77,3.89,3.01,3.7,2.31,2.22,3.5,3.87,3.89,2.67,2.27,3.1,2.69,2.91,3.31,2.56	4.24,3.09,2.85,3.57,3.34,3.16,3.58,3.84,3.98,3.09,3.8,2.33,2.25,3.6,3.98,3.97,2.74,2.35,3.23,2.78,3.01,3.42,2.65
VAMB	8.34	0.36,0.35,0.35,0.35,0.35,0.36,0.36,0.37,0.36,0.39,0.36,0.45,0.35,0.34,0.35,0.36,0.35,0.36,0.37,0.34,0.37,0.38,0.34	0.68,0.55,0.53,0.58,0.51,0.55,0.61,0.69,0.66,0.64,0.65,0.49,0.5,0.55,0.55,0.59,0.54,0.47,0.53,0.47,0.5,0.63,0.47	1.3,1.5,2.32,1.95,1.37,2.03,1.92,1.58,2.6,1.28,0.87,2.64,2.46,3.19,2.22,1.51,1.78,1.58,1.82,1.82,3.07,2.56,1.71	1.38,1.59,2.58,2.01,1.53,2.12,2.16,1.7,2.8,1.22,0.92,2.79,2.77,3.13,2.25,1.6,1.83,1.62,1.93,1.91,3.31,2.96,1.88	1.42,0.93,1.02,1.13,0.98,0.84,1.27,1.17,1.22,0.97,1.35,1.06,0.62,1.19,1.14,1.55,1.05,0.93,1.06,1.0,1.1,1.26,1.09	2.13,1.42,1.29,1.7,1.4,1.35,1.82,1.75,1.86,1.41,1.83,1.04,0.9,1.74,1.77,1.99,1.45,1.26,1.55,1.31,1.53,1.73,1.48
CLMB	30	3.66,2.87,2.84,2.87,2.55,2.86,2.89,3.56,3.13,3.07,3.15,3.11,2.62,2.9,2.92,3.42,2.47,2.05,2.45,2.07,2.36,3.11,2.0	3.67,2.86,2.84,2.87,2.58,2.86,2.87,3.54,3.08,3.07,3.14,3.08,2.6,2.9,2.87,3.43,2.45,2.11,2.44,2.15,2.41,3.11,2.19	3.68,3.17,3.78,4.31,3.16,3.69,3.03,3.65,5.02,3.31,2.46,4.45,3.89,6.78,3.71,3.21,2.94,2.67,2.95,3.79,6.05,3.85,3.82	3.69,3.19,3.83,4.36,3.14,3.69,3.03,3.64,5.02,3.32,2.45,4.45,3.89,6.74,3.7,3.22,2.93,2.67,2.95,3.78,6.04,3.83,3.82	5.41,3.31,4.74,4.16,4.09,3.83,4.42,3.9,4.63,3.67,4.33,2.97,2.87,5.11,4.59,4.35,4.09,3.86,4.86,3.84,3.72,3.9,3.46	5.41,3.33,4.81,4.18,4.09,3.83,4.43,3.91,4.62,3.64,4.33,2.96,2.87,5.09,4.59,4.36,4.07,3.86,4.86,3.84,3.75,3.93,3.45
MetaDecoder	94.05	1.23,0.83,0.89,0.93,0.78,0.85,0.94,1.24,1.2,1.17,1.24,1.45,0.87,0.87,0.88,1.2,0.83,0.58,0.74,0.62,0.69,1.11,0.64	1.33,0.91,0.98,1.0,0.87,0.94,1.02,1.35,1.31,1.27,1.34,14.54,1.12,0.95,0.97,2.0,0.93,0.63,0.81,0.63,0.77,1.19,0.66	2.7,2.11,3.72,3.05,2.11,2.82,3.07,2.32,4.89,2.9,1.76,4.67,4.65,5.09,3.29,2.13,2.45,2.02,2.64,2.7,5.46,5.44,2.23	2.75,2.46,4.17,3.26,2.33,3.34,3.39,2.62,5.19,2.9,1.71,4.98,4.94,6.41,3.62,2.47,2.84,2.46,3.02,2.95,5.83,5.77,2.96	5.7,3.37,3.03,4.16,3.57,3.05,4.5,4.42,4.81,3.27,4.71,4.12,2.64,3.78,4.78,5.15,3.69,3.74,3.25,3.52,3.82,4.03,3.85	6.05,3.35,3.37,4.39,3.79,3.24,4.47,4.68,5.08,3.45,4.98,12.44,2.71,4.08,5.05,7.11,3.76,3.76,3.49,3.2,4.06,4.27,3.49
Binny	123.2	26.59,22.75,20.7,24.37,22.96,23.05,23.72,28.93,25.3,24.01,24.9,19.82,19.55,22.59,25.78,25.66,17.89,15.82,21.64,17.48,20.29,24.33,16.16	26.31,23.96,21.96,25.33,23.4,23.75,24.6,29.88,24.63,24.61,24.83,20.05,19.13,22.62,24.99,26.6,17.57,16.12,20.89,17.97,20.41,25.75,15.74	6.22,7.65,13.38,10.56,7.31,10.45,10.47,8.0,14.92,5.45,4.18,14.83,14.99,17.61,11.91,7.95,9.0,7.77,9.53,9.42,18.15,15.75,9.61	6.23,7.67,13.39,10.58,7.31,10.45,10.46,8.0,14.93,5.43,4.18,14.83,15.0,17.65,11.95,7.95,9.01,7.77,9.53,9.45,18.16,15.75,9.63	16.74,16.44,13.54,15.43,15.73,16.17,15.0,17.58,15.89,15.19,15.79,10.55,13.16,14.56,17.26,15.4,10.54,9.97,14.62,12.39,13.9,15.09,10.6	17.03,17.11,13.75,15.92,16.04,16.25,15.83,17.8,16.42,14.72,16.21,11.14,13.29,14.73,17.54,15.8,11.21,10.32,14.98,12.79,14.45,15.33,11.01
MetaBinner	0	3.84,3.18,2.94,3.3,3.07,3.08,3.17,4.06,3.7,3.38,3.46,2.63,2.44,2.89,3.49,3.54,2.31,2.05,2.75,2.34,2.77,3.62,2.1	3.74,3.38,2.95,3.46,3.17,3.31,3.22,4.26,3.73,3.58,3.58,2.71,2.62,2.93,3.54,3.81,2.39,2.05,2.83,2.37,2.7,3.55,2.12	2.85,2.08,2.8,2.65,2.14,2.63,2.28,1.91,3.4,3.7,1.68,3.07,3.1,4.95,2.48,2.78,2.74,2.44,2.05,2.16,3.66,3.26,2.1	1.49,2.57,2.81,2.22,2.02,2.76,2.3,1.97,4.88,3.97,1.68,3.15,3.13,3.92,2.92,2.47,2.3,2.23,2.06,2.16,6.16,3.28,2.03	3.84,3.35,3.01,3.64,3.3,2.67,4.35,2.88,3.34,2.71,3.61,4.12,2.71,3.57,3.45,4.5,3.79,3.79,3.15,3.51,4.04,3.54,3.86	3.0,2.71,3.07,2.45,2.72,2.56,2.54,2.92,2.87,2.33,2.61,2.48,1.81,2.41,3.0,2.81,2.14,2.42,2.25,2.25,2.2,2.54,1.97
SemiBin 2	73.86	23.11,14.6,16.95,17.08,13.01,15.05,18.17,27.53,21.88,20.75,21.3,21.6,14.26,14.17,15.93,21.59,12.63,8.43,11.64,8.96,11.74,21.27,8.79	5.07,3.93,3.93,4.09,3.76,4.04,4.33,5.21,5.3,4.66,4.62,4.09,3.78,3.82,4.09,4.73,3.77,3.49,3.72,3.49,3.7,4.48,3.51	3.98,4.36,5.55,4.9,4.27,4.94,4.93,4.45,5.82,3.86,3.56,5.75,5.99,6.35,5.06,4.29,4.59,4.25,4.67,4.6,6.42,6.06,4.7	4.09,4.42,5.78,5.1,4.42,5.1,5.15,4.59,6.02,3.81,3.68,5.99,6.17,6.6,5.32,4.45,4.67,4.34,4.77,4.74,6.74,6.37,4.9	55.83,32.37,27.19,42.5,41.04,36.92,39.76,48.96,54.07,33.06,45.76,16.31,19.44,43.5,56.06,124.8,23.92,18.59,34.65,28.03,28.93,34.77,21.14	8.29,6.35,5.04,6.55,6.27,6.31,6.71,7.48,8.19,6.14,6.96,4.55,4.33,6.86,7.75,8.79,5.02,4.56,6.23,5.44,5.85,6.33,5.3
COMEBin(GPU)	0	14.46,12.4,11.42,12.95,12.42,12.23,13.06,15.29,13.77,12.9,13.55,10.62,10.2,12.08,13.49,14.15,9.85,8.57,11.48,9.87,11.16,13.62,8.6	12.33,10.92,9.98,11.36,10.78,10.76,11.39,13.68,11.85,11.21,11.69,9.83,8.95,10.47,11.96,12.09,8.29,7.36,9.77,8.4,9.7,11.75,7.5	2.79,3.34,5.54,4.38,3.2,4.46,4.55,3.56,6.15,2.74,2.77,5.82,6.2,7.06,4.84,3.35,3.83,3.33,4.06,3.96,7.3,6.53,4.01	2.84,3.34,5.5,4.38,3.16,4.46,4.55,3.56,6.12,2.79,2.83,5.97,6.2,7.05,4.84,3.35,3.83,3.33,4.05,3.96,7.26,6.53,4.01	8.8,9.42,7.84,8.31,9.01,9.35,8.18,9.69,8.88,8.51,8.5,6.03,7.96,7.91,9.43,7.77,5.75,5.53,8.29,7.0,7.58,8.06,5.64	7.6,8.12,6.74,7.3,7.81,8.19,7.12,8.5,7.66,7.33,7.34,5.67,7.01,6.87,8.22,6.97,5.11,4.91,7.1,6.16,6.73,6.96,5.06
