	Short_co	Short_single	Short_multi	Long_single	Long_multi	Hybrid_single	Hybrid_multi
CONCOCT	0	0.43	0.5	0.71	0.71	0.31	0.37
MaxBin 2	0	0.33	0.35	0.61	0.63	0.53	0.52
MetaBAT 2	0	0.31	0.32	1.1	1.15	0.55	0.57
VAMB	0	0.02	0.07	0.58	0.63	0.19	0.29
CLMB	0	0.44	0.41	0.99	0.99	0.62	0.62
MetaDecoder	0	0.23	1.63	1.17	1.27	0.73	1.95
Binny	0	3.36	3.55	3.8	3.81	2.2	2.16
MetaBinner	0	0.55	0.57	0.72	1.06	0.49	0.33
SemiBin 2	0	5.04	0.53	0.8	0.86	21.55	1.2
COMEBin(GPU)	0	1.79	1.58	1.38	1.37	1.21	0.99
VAMB(GPU)	0	0.03	0.07	0.58	0.63	0.2	0.29
SemiBin 2(GPU)	0	5.1	0.54	0.8	0.86	11.7	1.21
