	Short_co	Short_single	Short_multi	Long_single	Long_multi	Hybrid_single	Hybrid_multi
CONCOCT	0	781,205,185,214,626,227,589,290,255,205,352,474,158,354,226,538,159,136,211,163,187,220,156	1061,1573,1190,1075,1136,1268,1215,2147,1190,937,1319,686,915,1087,1111,1084,991,539,840,884,956,1757,792	127,166,838,520,36,353,191,166,988,118,20,743,885,911,512,90,409,128,281,442,953,972,271	131,363,726,554,285,609,743,404,1373,70,59,820,1208,1442,889,395,390,399,571,699,1236,1063,440	644,883,466,809,801,777,559,896,611,818,1121,390,116,333,804,1030,464,294,875,214,734,589,547	1377,1231,1163,1468,329,809,1037,1253,1203,1065,1203,208,629,320,803,292,403,349,796,1011,897,1346,979
MaxBin 2	0	889,676,555,654,629,610,657,946,839,743,816,618,474,598,729,809,405,310,508,390,539,808,323	1549,1530,986,1144,1460,1098,1188,1640,1953,1319,1916,1363,856,1362,1299,1387,753,568,906,925,926,1396,594	52,73,156,120,73,101,116,93,210,44,39,182,216,228,124,63,83,61,93,78,264,263,114	101,118,246,209,134,163,188,160,333,108,89,313,344,466,201,104,136,102,147,129,430,411,173	832,598,470,616,603,549,569,731,756,552,703,355,390,582,728,719,363,280,530,397,485,611,336	1408,1347,804,1378,1360,969,1284,1264,1284,957,1594,801,700,1002,1232,1232,645,518,843,895,813,1047,595
MetaBAT 2	463.0	8,7,6,7,7,7,7,10,9,7,8,7,6,6,8,7,5,4,6,5,6,9,5	54,54,51,53,56,58,59,60,71,70,71,65,41,43,44,41,36,41,37,42,42,38,34	4,4,6,5,4,5,5,5,7,3,3,6,8,12,5,3,5,4,5,4,13,9,24	29,13,17,30,29,15,13,44,16,39,34,39,22,24,13,14,18,14,11,15,35,15,24	11,7,7,10,10,9,8,11,11,7,9,6,6,9,11,9,6,5,8,6,7,8,5	54,55,54,56,56,64,64,65,53,63,61,55,59,60,59,58,55,54,27,14,26,51,49
VAMB	1971	38,28,28,31,27,29,31,40,35,33,34,32,27,27,30,33,23,19,24,21,25,34,20	142,127,125,130,122,134,138,156,155,155,153,143,108,109,119,125,97,89,99,95,106,123,87	9,11,18,15,11,13,14,13,20,8,8,20,24,24,16,10,14,10,13,11,28,24,29	45,44,58,65,53,41,44,65,61,51,49,84,72,69,46,36,40,32,36,37,113,69,53	43,31,28,37,38,31,34,41,62,31,38,22,25,36,61,37,26,23,33,27,32,52,25	155,143,129,147,146,149,151,175,155,153,166,110,126,151,164,149,126,112,108,87,100,136,113
CLMB	13198	504,392,468,458,370,302,334,577,358,552,493,360,285,291,314,490,291,279,378,310,350,501,343	777,768,604,721,735,625,694,869,946,774,714,706,731,591,598,809,498,411,587,535,581,705,457	166,201,379,285,208,271,296,235,434,119,132,367,468,446,313,190,219,177,236,213,458,480,286	232,258,473,374,269,316,355,298,479,166,175,473,537,508,346,227,267,203,264,246,575,535,340	794,590,531,639,681,611,617,737,747,585,593,380,492,700,818,785,483,436,621,579,576,629,449	895,750,647,784,786,610,697,886,763,731,860,394,555,777,854,866,608,493,696,522,610,667,586
MetaDecoder	8668	29,16,20,20,18,18,21,21,22,18,30,31,15,17,17,24,17,10,10,14,8,22,10	167,150,135,89,91,125,81,99,121,124,95,85,67,91,97,72,64,64,69,52,119,129,66	13,18,31,26,16,24,26,19,41,13,10,42,43,59,27,19,21,15,22,19,85,49,20	81,104,117,141,317,86,92,85,156,53,185,226,109,321,96,83,83,76,82,175,299,303,69	102,56,48,88,67,86,102,101,102,71,104,50,42,109,84,197,95,43,60,42,96,76,53	180,216,231,251,319,173,220,236,122,307,352,216,157,183,221,208,278,256,114,98,112,230,184
Binny	6976	530,440,440,479,418,453,470,547,534,513,510,531,453,471,620,677,504,471,418,330,377,452,288	759,757,784,826,751,721,713,780,749,780,694,556,545,597,690,692,603,479,611,573,568,703,551	609,788,1285,1004,707,1089,1025,810,1430,644,459,1461,1413,1659,1155,762,927,751,917,925,1690,1525,907	664,766,1226,1026,762,1057,1091,785,1450,611,463,1420,1447,1634,1111,759,879,787,865,884,1725,1517,951	1454,1400,1412,1741,1513,1348,1735,1744,1689,1102,1711,1003,715,1746,1759,1897,1428,946,1496,1391,1496,1678,1052	1891,1240,1125,1838,1650,1401,1451,1848,1743,1512,1960,1282,931,1790,1917,1874,1637,1373,1660,1480,1621,1735,1510
MetaBinner	0	460,372,370,387,356,364,378,494,522,426,435,347,269,322,393,392,263,199,302,201,305,411,209	469,366,324,368,350,323,363,511,463,383,445,416,270,301,343,434,252,191,257,256,261,391,213	187,209,341,286,190,290,262,239,425,251,129,440,411,698,330,211,239,209,279,284,569,431,291	179,189,310,276,187,244,239,214,390,252,169,445,366,619,352,191,260,195,225,238,593,452,234	529,408,409,454,417,372,492,446,471,469,452,294,247,432,445,515,285,232,340,317,385,398,261	734,463,359,569,532,440,558,543,655,437,634,444,397,563,633,628,422,297,463,407,430,658,431
SemiBin 2	681	91,77,76,78,86,82,80,92,82,82,83,96,93,77,80,87,73,69,74,72,74,82,70	162,112,110,110,110,111,109,140,126,110,124,114,103,107,113,116,112,103,109,106,212,250,245	164,145,215,175,131,159,171,142,203,160,105,230,226,215,180,135,152,140,150,146,243,223,146	130,148,195,205,150,193,177,152,221,131,113,217,245,248,200,155,184,163,188,237,273,264,217	177,143,134,155,142,137,157,165,153,132,159,126,110,154,159,187,126,119,143,112,135,155,129	197,145,138,164,158,152,176,170,177,181,183,149,122,175,178,203,153,133,178,141,166,188,149
COMEBin(GPU)	0	841,723,681,750,730,694,757,915,1007,747,775,582,581,678,795,787,535,464,647,529,612,757,469	795,699,629,706,672,674,725,859,755,716,737,593,561,665,760,801,532,475,640,533,627,770,489	154,183,311,249,207,255,266,205,344,183,127,224,344,426,276,179,213,176,228,208,429,377,215	203,219,339,286,221,297,299,250,408,197,139,391,389,466,332,236,280,235,294,287,478,440,282	754,701,563,658,644,669,647,761,692,608,689,464,524,612,745,686,475,413,627,469,602,663,469	897,796,691,794,744,768,796,888,853,718,810,504,549,737,893,790,593,545,748,623,716,817,600
