	Short_co	Short_single	Short_multi	Long_single	Long_multi	Hybrid_single	Hybrid_multi
CONCOCT	0	174.31	338.85	333.87	393.75	256.76	387.41
MaxBin 2	0	173.76	366.62	68.56	113.45	148.06	293.1
MetaBAT 2	0	1.4	11.51	4.53	9.89	1.93	12.64
VAMB	0	5.41	21.29	6.26	18.19	10.61	22.61
CLMB	0	90.91	127.76	110.23	123.49	115.33	133.17
MetaDecoder	0	0.95	30.03	17.25	85.78	33.43	65.02
Binny	0	82.43	95.32	343.48	341.22	303.03	266.49
MetaBinner	0	85.84	84.88	129.39	124.95	84.84	110.06
SemiBin 2	0	7.32	42.88	36.98	43.57	19.2	20.58
COMEBin(GPU)	0	131.9	101.4	82.01	88.4	99.46	113.0
VAMB(GPU)	0	2.18	11.72	4.29	8.87	2.28	13.08
SemiBin 2(GPU)	0	5.2	4.66	28.59	31.13	13.79	13.98
