"gtdb_rel207_bac120.bin"	"gtdb_rel207_bac120.uniqueSCGs"	"gtdb_rel207_bac120.multipleSCGs"	"gtdb_rel207_bac120.sumSCGs"	"gtdb_rel207_bac120.Completeness"	"gtdb_rel207_bac120.additionalSCGs"	"gtdb_rel207_bac120.Contamination"	"gtdb_rel207_bac120.score"
"MAGScoT_1_1"	119	17	137	0.991666666666667	1	0.0755952380952381	0.916071428571429
"MAGScoT_1_10"	115	7	122	0.958333333333333	0	0.0304347826086957	0.927898550724638
"MAGScoT_1_11"	115	7	122	0.958333333333333	0	0.0304347826086957	0.927898550724638
"MAGScoT_1_12"	109	27	138	0.908333333333333	2	0.132186544342508	0.776146788990826
"MAGScoT_1_13"	118	27	147	0.983333333333333	2	0.12274011299435	0.860593220338983
"MAGScoT_1_14"	118	27	147	0.983333333333333	2	0.12274011299435	0.860593220338983
"MAGScoT_1_15"	83	27	114	0.691666666666667	4	0.179317269076305	0.512349397590361
"MAGScoT_1_16"	83	27	114	0.691666666666667	4	0.179317269076305	0.512349397590361
"MAGScoT_1_17"	112	15	127	0.933333333333333	0	0.0669642857142857	0.866369047619048
"MAGScoT_1_18"	112	15	127	0.933333333333333	0	0.0669642857142857	0.866369047619048
"MAGScoT_1_19"	112	15	127	0.933333333333333	0	0.0669642857142857	0.866369047619048
"MAGScoT_1_2"	118	1	119	0.983333333333333	0	0.00423728813559322	0.97909604519774
"MAGScoT_1_20"	111	26	141	0.925	4	0.133783783783784	0.791216216216216
"MAGScoT_1_21"	108	26	138	0.9	4	0.137037037037037	0.762962962962963
"MAGScoT_1_22"	118	3	121	0.983333333333333	0	0.0127118644067797	0.970621468926554
"MAGScoT_1_23"	118	3	121	0.983333333333333	0	0.0127118644067797	0.970621468926554
"MAGScoT_1_24"	118	0	118	0.983333333333333	0	0	0.983333333333333
"MAGScoT_1_25"	118	0	118	0.983333333333333	0	0	0.983333333333333
"MAGScoT_1_26"	119	34	158	0.991666666666667	5	0.163690476190476	0.827976190476191
"MAGScoT_1_27"	119	9	131	0.991666666666667	3	0.0503151260504202	0.941351540616246
"MAGScoT_1_28"	109	37	158	0.908333333333333	12	0.219724770642202	0.688608562691131
"MAGScoT_1_29"	102	95	366	0.85	169	1.16985294117647	-0.319852941176471
"MAGScoT_1_3"	118	1	119	0.983333333333333	0	0.00423728813559322	0.97909604519774
"MAGScoT_1_30"	86	8	99	0.716666666666667	5	0.0673449612403101	0.649321705426357
"MAGScoT_1_31"	119	15	135	0.991666666666667	1	0.0671918767507003	0.924474789915966
"MAGScoT_1_32"	119	13	133	0.991666666666667	1	0.0587885154061625	0.932878151260504
"MAGScoT_1_33"	92	10	103	0.766666666666667	1	0.0585144927536232	0.708152173913044
"MAGScoT_1_34"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377
"MAGScoT_1_35"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377
"MAGScoT_1_36"	104	97	371	0.866666666666667	170	1.17467948717949	-0.308012820512821
"MAGScoT_1_37"	95	19	117	0.791666666666667	3	0.1125	0.679166666666667
"MAGScoT_1_38"	95	23	122	0.791666666666667	4	0.137719298245614	0.653947368421053
"MAGScoT_1_39"	110	3	113	0.916666666666667	0	0.0136363636363636	0.903030303030303
"MAGScoT_1_4"	118	1	119	0.983333333333333	0	0.00423728813559322	0.97909604519774
"MAGScoT_1_40"	107	3	110	0.891666666666667	0	0.014018691588785	0.877647975077882
"MAGScoT_1_41"	115	44	171	0.958333333333333	12	0.241304347826087	0.717028985507246
"MAGScoT_1_42"	112	1	113	0.933333333333333	0	0.00446428571428571	0.928869047619048
"MAGScoT_1_43"	95	23	122	0.791666666666667	4	0.137719298245614	0.653947368421053
"MAGScoT_1_44"	110	3	113	0.916666666666667	0	0.0136363636363636	0.903030303030303
"MAGScoT_1_45"	107	3	110	0.891666666666667	0	0.014018691588785	0.877647975077882
"MAGScoT_1_46"	83	27	114	0.691666666666667	4	0.179317269076305	0.512349397590361
"MAGScoT_1_47"	80	4	84	0.666666666666667	0	0.025	0.641666666666667
"MAGScoT_1_48"	80	4	84	0.666666666666667	0	0.025	0.641666666666667
"MAGScoT_1_49"	112	3	115	0.933333333333333	0	0.0133928571428571	0.919940476190476
"MAGScoT_1_5"	103	96	372	0.858333333333333	173	1.18685275080906	-0.328519417475728
"MAGScoT_1_50"	111	3	114	0.925	0	0.0135135135135135	0.911486486486487
"MAGScoT_1_51"	112	3	115	0.933333333333333	0	0.0133928571428571	0.919940476190476
"MAGScoT_1_52"	34	1	35	0.283333333333333	0	0.0147058823529412	0.268627450980392
"MAGScoT_1_53"	118	2	120	0.983333333333333	0	0.00847457627118644	0.974858757062147
"MAGScoT_1_54"	110	3	113	0.916666666666667	0	0.0136363636363636	0.903030303030303
"MAGScoT_1_55"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377
"MAGScoT_1_56"	119	36	162	0.991666666666667	7	0.180427170868347	0.811239495798319
"MAGScoT_1_57"	118	0	118	0.983333333333333	0	0	0.983333333333333
"MAGScoT_1_58"	115	44	171	0.958333333333333	12	0.241304347826087	0.717028985507246
"MAGScoT_1_59"	80	4	84	0.666666666666667	0	0.025	0.641666666666667
"MAGScoT_1_6"	92	70	187	0.766666666666667	25	0.484601449275362	0.282065217391304
"MAGScoT_1_60"	97	89	199	0.808333333333333	13	0.512929553264605	0.295403780068729
"MAGScoT_1_61"	99	88	192	0.825	5	0.465277777777778	0.359722222222222
"MAGScoT_1_62"	102	95	367	0.85	170	1.17401960784314	-0.324019607843137
"MAGScoT_1_63"	100	59	163	0.833333333333333	4	0.311666666666667	0.521666666666667
"MAGScoT_1_64"	97	80	190	0.808333333333333	13	0.466537800687285	0.341795532646048
"MAGScoT_1_65"	97	86	187	0.808333333333333	4	0.459965635738832	0.348367697594502
"MAGScoT_1_66"	113	43	168	0.941666666666667	12	0.240265486725664	0.701401179941003
"MAGScoT_1_67"	108	1	109	0.9	0	0.00462962962962963	0.89537037037037
"MAGScoT_1_68"	111	1	112	0.925	0	0.0045045045045045	0.920495495495496
"MAGScoT_1_69"	91	70	182	0.758333333333333	21	0.472115384615385	0.286217948717949
"MAGScoT_1_7"	102	95	372	0.85	175	1.19485294117647	-0.344852941176471
"MAGScoT_1_70"	102	95	365	0.85	168	1.1656862745098	-0.315686274509804
"MAGScoT_1_71"	119	32	156	0.991666666666667	5	0.155287114845938	0.836379551820728
"MAGScoT_1_72"	119	6	126	0.991666666666667	1	0.0293767507002801	0.962289915966387
"MAGScoT_1_73"	119	7	128	0.991666666666667	2	0.0377450980392157	0.953921568627451
"MAGScoT_1_74"	119	15	135	0.991666666666667	1	0.0671918767507003	0.924474789915966
"MAGScoT_1_75"	119	11	131	0.991666666666667	1	0.0503851540616247	0.941281512605042
"MAGScoT_1_76"	91	68	180	0.758333333333333	21	0.461126373626374	0.29720695970696
"MAGScoT_1_77"	102	95	367	0.85	170	1.17401960784314	-0.324019607843137
"MAGScoT_1_78"	109	37	158	0.908333333333333	12	0.219724770642202	0.688608562691131
"MAGScoT_1_79"	102	95	365	0.85	168	1.1656862745098	-0.315686274509804
"MAGScoT_1_8"	78	41	127	0.65	8	0.296153846153846	0.353846153846154
"MAGScoT_1_9"	115	7	122	0.958333333333333	0	0.0304347826086957	0.927898550724638
"MAGScoT_2_1"	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377
"MAGScoT_2_10"	117	2	119	0.975	0	0.00854700854700855	0.966452991452991
"MAGScoT_2_11"	80	4	84	0.666666666666667	0	0.025	0.641666666666667
"MAGScoT_2_12"	80	4	84	0.666666666666667	0	0.025	0.641666666666667
"MAGScoT_2_13"	112	3	115	0.933333333333333	0	0.0133928571428571	0.919940476190476
"MAGScoT_2_14"	109	3	112	0.908333333333333	0	0.0137614678899083	0.894571865443425
"MAGScoT_2_15"	109	3	112	0.908333333333333	0	0.0137614678899083	0.894571865443425
"MAGScoT_2_16"	109	3	112	0.908333333333333	0	0.0137614678899083	0.894571865443425
