bin	uniqueSCGs.gtdb_rel207_bac120	multipleSCGs.gtdb_rel207_bac120	sumSCGs.gtdb_rel207_bac120	Completeness.gtdb_rel207_bac120	additionalSCGs.gtdb_rel207_bac120	Contamination.gtdb_rel207_bac120	score.gtdb_rel207_bac120	uniqueSCGs.gtdb_rel207_ar53	multipleSCGs.gtdb_rel207_ar53	sumSCGs.gtdb_rel207_ar53	Completeness.gtdb_rel207_ar53	additionalSCGs.gtdb_rel207_ar53	Contamination.gtdb_rel207_ar53	score.gtdb_rel207_ar53	max	max_complete	set
MAGScoT_cleanbin_000001	example_vamb_bin_543	118	0	118	0.983333333333333	0	0	0.983333333333333	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.983333333333333	0.983333333333333	vamb
MAGScoT_cleanbin_000002	MAGScoT_1_53	118	2	120	0.983333333333333	0	0.00847457627118644	0.974858757062147	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.974858757062147	0.983333333333333	MAGScoT_1
MAGScoT_cleanbin_000003	MAGScoT_1_72	119	6	126	0.991666666666667	1	0.0293767507002801	0.962289915966387	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.962289915966387	0.991666666666667	MAGScoT_1
MAGScoT_cleanbin_000004	MAGScoT_2_2	115	1	116	0.958333333333333	0	0.00434782608695652	0.953985507246377	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.953985507246377	0.958333333333333	MAGScoT_2
MAGScoT_cleanbin_000005	MAGScoT_1_75	119	11	131	0.991666666666667	1	0.0503851540616247	0.941281512605042	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.941281512605042	0.991666666666667	MAGScoT_1
MAGScoT_cleanbin_000006	MAGScoT_1_42	112	1	113	0.933333333333333	0	0.00446428571428571	0.928869047619048	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.928869047619048	0.933333333333333	MAGScoT_1
MAGScoT_cleanbin_000007	MAGScoT_1_49	112	3	115	0.933333333333333	0	0.0133928571428571	0.919940476190476	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.919940476190476	0.933333333333333	MAGScoT_1
MAGScoT_cleanbin_000008	MAGScoT_1_39	110	3	113	0.916666666666667	0	0.0136363636363636	0.903030303030303	5	0	5	0.0943396226415094	0	0	0.0943396226415094	0.903030303030303	0.916666666666667	MAGScoT_1
MAGScoT_cleanbin_000009	example_vamb_bin_2536	91	3	95	0.758333333333333	1	0.0206501831501831	0.73768315018315	1	0	1	0.0188679245283019	0	0	0.0188679245283019	0.73768315018315	0.758333333333333	vamb
MAGScoT_cleanbin_000010	example_vamb_bin_2555	91	11	103	0.758333333333333	1	0.0646062271062271	0.693727106227106	2	0	2	0.0377358490566038	0	0	0.0377358490566038	0.693727106227106	0.758333333333333	vamb
MAGScoT_cleanbin_000011	MAGScoT_1_60	91	5	97	0.758333333333333	1	0.0316391941391941	0.726694139194139	1	0	1	0.0188679245283019	0	0	0.0188679245283019	0.726694139194139	0.758333333333333	MAGScoT_1
MAGScoT_cleanbin_000012	MAGScoT_1_28	96	11	112	0.8	5	0.078125	0.721875	3	1	5	0.0566037735849057	1	0.176100628930818	-0.119496855345912	0.721875	0.8	MAGScoT_1
MAGScoT_cleanbin_000013	MAGScoT_1_47	80	4	84	0.666666666666667	0	0.025	0.641666666666667	4	0	4	0.0754716981132075	0	0	0.0754716981132075	0.641666666666667	0.666666666666667	MAGScoT_1
MAGScoT_cleanbin_000014	example_vamb_bin_3834	70	4	76	0.583333333333333	2	0.0369047619047619	0.546428571428571	1	0	1	0.0188679245283019	0	0	0.0188679245283019	0.546428571428571	0.583333333333333	vamb
MAGScoT_cleanbin_000015	example_vamb_bin_490	63	5	68	0.525	0	0.0396825396825397	0.48531746031746	1	0	1	0.0188679245283019	0	0	0.0188679245283019	0.48531746031746	0.525	vamb
