"gtdb_rel207_ar53.bin"	"gtdb_rel207_ar53.uniqueSCGs"	"gtdb_rel207_ar53.multipleSCGs"	"gtdb_rel207_ar53.sumSCGs"	"gtdb_rel207_ar53.Completeness"	"gtdb_rel207_ar53.additionalSCGs"	"gtdb_rel207_ar53.Contamination"	"gtdb_rel207_ar53.score"
"MAGScoT_1_1"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_10"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_11"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_12"	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056
"MAGScoT_1_13"	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056
"MAGScoT_1_14"	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056
"MAGScoT_1_15"	4	4	9	0.0754716981132075	1	0.509433962264151	-0.433962264150943
"MAGScoT_1_16"	4	4	9	0.0754716981132075	1	0.509433962264151	-0.433962264150943
"MAGScoT_1_17"	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056
"MAGScoT_1_18"	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056
"MAGScoT_1_19"	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056
"MAGScoT_1_2"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_20"	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056
"MAGScoT_1_21"	4	1	5	0.0754716981132075	0	0.125	-0.0495283018867925
"MAGScoT_1_22"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_23"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_24"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_25"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_26"	5	4	11	0.0943396226415094	2	0.418867924528302	-0.324528301886792
"MAGScoT_1_27"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_28"	4	1	6	0.0754716981132075	1	0.134433962264151	-0.0589622641509434
"MAGScoT_1_29"	3	2	8	0.0566037735849057	3	0.361635220125786	-0.30503144654088
"MAGScoT_1_3"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_30"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"MAGScoT_1_31"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_32"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_33"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"MAGScoT_1_34"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_35"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_36"	3	2	8	0.0566037735849057	3	0.361635220125786	-0.30503144654088
"MAGScoT_1_37"	3	1	5	0.0566037735849057	1	0.176100628930818	-0.119496855345912
"MAGScoT_1_38"	2	0	2	0.0377358490566038	0	0	0.0377358490566038
"MAGScoT_1_39"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_4"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_40"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_1_41"	4	1	5	0.0754716981132075	0	0.125	-0.0495283018867925
"MAGScoT_1_42"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_1_43"	2	0	2	0.0377358490566038	0	0	0.0377358490566038
"MAGScoT_1_44"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_45"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_1_46"	4	4	9	0.0754716981132075	1	0.509433962264151	-0.433962264150943
"MAGScoT_1_47"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_1_48"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
